"","parkCode","parkName","state","acres","latitude","longitude"
"1","ACAD","Acadia National Park","ME",47390,44.35,-68.21
"2","ARCH","Arches National Park","UT",76519,38.68,-109.57
"3","BADL","Badlands National Park","SD",242756,43.75,-102.5
"4","BIBE","Big Bend National Park","TX",801163,29.25,-103.25
"5","BISC","Biscayne National Park","FL",172924,25.65,-80.08
"6","BLCA","Black Canyon of the Gunnison National Park","CO",32950,38.57,-107.72
"7","BRCA","Bryce Canyon National Park","UT",35835,37.57,-112.18
"8","CANY","Canyonlands National Park","UT",337598,38.2,-109.93
"9","CARE","Capitol Reef National Park","UT",241904,38.2,-111.17
"10","CAVE","Carlsbad Caverns National Park","NM",46766,32.17,-104.44
"11","CHIS","Channel Islands National Park","CA",249561,34.01,-119.42
"12","CONG","Congaree National Park","SC",26546,33.78,-80.78
"13","CRLA","Crater Lake National Park","OR",183224,42.94,-122.1
"14","CUVA","Cuyahoga Valley National Park","OH",32950,41.24,-81.55
"16","DEVA","Death Valley National Park","CA, NV",4740912,36.24,-116.82
"17","DRTO","Dry Tortugas National Park","FL",64701,24.63,-82.87
"18","EVER","Everglades National Park","FL",1508538,25.32,-80.93
"20","GLAC","Glacier National Park","MT",1013572,48.8,-114
"22","GRBA","Great Basin National Park","NV",77180,38.98,-114.3
"23","GRCA","Grand Canyon National Park","AZ",1217403,36.06,-112.14
"24","GRSA","Great Sand Dunes National Park and Preserve","CO",42984,37.73,-105.51
"25","GRSM","Great Smoky Mountains National Park","TN, NC",521490,35.68,-83.53
"26","GRTE","Grand Teton National Park","WY",309995,43.73,-110.8
"27","GUMO","Guadalupe Mountains National Park","TX",86416,31.92,-104.87
"30","HOSP","Hot Springs National Park","AR",5550,34.51,-93.05
"31","ISRO","Isle Royale National Park","MI",571790,48.1,-88.55
"32","JOTR","Joshua Tree National Park","CA",789745,33.79,-115.9
"34","KEFJ","Kenai Fjords National Park","AK",669983,59.92,-149.65
"37","LAVO","Lassen Volcanic National Park","CA",106372,40.49,-121.51
"38","MACA","Mammoth Cave National Park","KY",52830,37.18,-86.1
"39","MEVE","Mesa Verde National Park","CO",52122,37.18,-108.49
"40","MORA","Mount Rainier National Park","WA",235625,46.85,-121.75
"41","NOCA","North Cascades National Park","WA",504781,48.7,-121.2
"42","OLYM","Olympic National Park","WA",922651,47.97,-123.5
"43","PEFO","Petrified Forest National Park","AZ",93533,35.07,-109.78
"44","PINN","Pinnacles National Park","CA",26606,36.48,-121.16
"45","REDW","Redwood National Park","CA",112512,41.3,-124
"46","ROMO","Rocky Mountain National Park","CO",265828,40.4,-105.58
"47","SAGU","Saguaro National Park","AZ",91440,32.25,-110.5
"49","SHEN","Shenandoah National Park","VA",199045,38.53,-78.35
"50","THRO","Theodore Roosevelt National Park","ND",70447,46.97,-103.45
"51","VOYA","Voyageurs National Park","MN",218200,48.5,-92.88
"52","WICA","Wind Cave National Park","SD",28295,43.57,-103.48
"54","YELL","Yellowstone National Park","WY, MT, ID",2219791,44.6,-110.5
"55","YOSE","Yosemite National Park","CA",761266,37.83,-119.5
"56","ZION","Zion National Park","UT",146598,37.3,-113.05
